City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Nishihara,JP,63.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
551,Coquimbo,CL,67.12,clear sky,-29.9533,-71.3436,Hotel San Juan
552,Uyuni,BO,64.13,few clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
553,Canchungo,GW,77.34,overcast clouds,12.0672,-16.0333,Aparthotel Napalach
557,Biloela,AU,64.98,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
558,Galle,LK,80.47,overcast clouds,6.0367,80.217,Amangalla
559,Antofagasta,CL,69.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
565,Safaga,EG,62.78,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
566,Chicama,PE,70.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
567,Da Nang,VN,78.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
568,Banda Aceh,ID,79.39,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
570,Faanui,PF,80.49,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
571,Tocopilla,CL,71.92,few clouds,-22.092,-70.1979,Hotel Galvarino
573,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
575,Takaka,NZ,63.55,moderate rain,-40.85,172.8,Golden Bay Motels
576,Bukavu,CD,61.02,light rain,-2.5083,28.8608,Horizon Hotel
577,Rio Grande,BR,84.31,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
578,Khirkiya,IN,85.48,few clouds,22.1674,76.8605,Sanjay Industries
579,Bialong,PH,74.48,broken clouds,6.9806,124.8889,Bialong Shariff Aguak
580,Bogalusa,US,67.82,clear sky,30.791,-89.8487,Traveler's Rest Motel
582,Cairns,AU,72.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
584,Tiarei,PF,82.42,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
585,Mahibadhoo,MV,82.83,clear sky,3.7833,72.9667,Omadhoo Inn
587,Musoma,TZ,73.35,overcast clouds,-1.5,33.8,New Peninsula Hotel
588,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
590,Imbituba,BR,73.81,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
593,Makokou,GA,77.94,few clouds,0.5738,12.8642,Hôtel
594,San Vicente,AR,64.81,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
597,Shambu,ET,60.39,broken clouds,9.5667,37.1,Wabe Hotel
601,Luganville,VU,77.67,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
604,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
605,Aguia Branca,BR,73.44,overcast clouds,-18.9831,-40.7403,Hotel Universal
606,Bubaque,GW,75.45,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
607,Estepona,ES,60.62,overcast clouds,36.4276,-5.1459,H10 Estepona Palace
608,Sulangan,PH,80.89,clear sky,11.1373,123.7228,Maia's Beach Resort
613,Barcelos,PT,61.84,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
614,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
615,Gushikawa,JP,63.63,overcast clouds,26.3544,127.8686,Kirari Guest House
616,Calvinia,ZA,66.61,overcast clouds,-31.4707,19.776,Die Lemoenhuis
618,Kattivakkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
621,Vilhena,BR,86.22,scattered clouds,-12.7406,-60.1458,Hotel Mirage
622,Sola,VU,74.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
625,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
627,Anloga,GH,83.53,overcast clouds,5.7947,0.8973,Pin Drop Hotel
631,Port Augusta,AU,61.9,few clouds,-32.5,137.7667,Majestic Oasis Apartments
633,Paoua,CF,83.32,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
636,Muswellbrook,AU,64.33,light rain,-32.2667,150.9,Wayfarer Motel
637,Sungaipenuh,ID,62.91,few clouds,-2.0833,101.3833,Penginapan Citra Alam
639,Viedma,AR,68.99,overcast clouds,-40.8135,-62.9967,Hotel Cristal
641,Nanakuli,US,78.75,few clouds,21.3906,-158.1547,Camp Pālehua
642,Karratha,AU,87.69,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
643,Kantabanji,IN,80.87,clear sky,20.4833,82.9167,Kamdhenu Borewell And Trading
647,Kimbe,PG,75.52,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
652,Jacobina,BR,81.28,overcast clouds,-11.1806,-40.5183,HOSTEL JACOBINA
653,Bonthe,SL,79.81,broken clouds,7.5264,-12.505,Bonthe Holiday Village
657,Chaman,PK,65.66,clear sky,30.9236,66.4512,Niamat parda Center chaman
658,Ponta Delgada,PT,61.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
659,Worthington,US,63.86,light rain,40.0931,-83.018,Sheraton Suites Columbus Worthington
663,Kharan,PK,76.59,clear sky,28.5833,65.4167,Dil Aram Bangla
678,Pemba,MZ,80.42,light rain,-12.974,40.5178,Guesthouse Samotina
679,Half Moon Bay,US,72.63,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
680,Sinnamary,GF,76.37,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
689,Lucea,JM,84.06,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
690,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
691,Vila Franca Do Campo,PT,61.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
692,Karanganyar,ID,76.82,overcast clouds,-6.7072,111.0834,Guntur Patie Home's
695,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
698,Pali,IN,79.9,clear sky,25.7667,73.3333,HOTEL THE AMBA VILAS
703,Belmonte,BR,80.82,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
706,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
